rank,uid,title,creator,estimatedArtist,estimatedPeriod,faceCount,vertexCount,likeCount,viewCount,commentCount,archiveTypes,viewerUrl,publishedAt
108,c366c74629f84b4d92b7712e86d0093d,Crouching Boy Cast V&A Model Attempt #2,Caitlyn Carr,michelangelo,renaissance,999674,722137,21,556,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-c366c74629f84b4d92b7712e86d0093d,2022-05-12T16:57:10.838609
109,b1be10aae20a499e9c94fbf2b2ac3ff0,Ânon par Jane Poupelet,"Alienor.org, Conseil des musées",,,780030,505198,22,436,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-b1be10aae20a499e9c94fbf2b2ac3ff0,2020-05-28T11:14:13.981600
110,df4d2da4e9934b82b30f9bcab685a0fd,Dendera zodiac copy,Fitzwilliam Museum,,19th century,500000,315963,19,724,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-df4d2da4e9934b82b30f9bcab685a0fd,2020-02-12T16:24:39.605139
111,465b5cb888d54a88aadf5d0c1b35a517,Bernini sculpture,Grooveholmes,bernini,,999942,777786,15,1053,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-465b5cb888d54a88aadf5d0c1b35a517,2023-07-12T18:55:29.081129
112,539be48602fe40748fb383885b1f3046,Guard Statue,local.yany,michelangelo,renaissance,66685,41589,18,581,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-539be48602fe40748fb383885b1f3046,2025-08-06T23:29:02.011486
113,f54e60afcd2a4ddaa17e182ba0901274,Musée Rodin - Hand of God / 3D Scan,Andrew Sink,rodin,,334224,210843,16,670,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-f54e60afcd2a4ddaa17e182ba0901274,2023-10-15T17:15:26.944674
114,9b4e3db1fe5f4989a5cb31f750481514,33-Kannon Buddha cliff statues(japan),Fuji,,,200000,193842,16,635,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-9b4e3db1fe5f4989a5cb31f750481514,2019-12-08T13:46:46.765147
115,4d2428e7502545489117d3f192dfc831,Le Baiser - Rodin,percapto,rodin,,199999,136827,14,765,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-4d2428e7502545489117d3f192dfc831,2017-09-18T13:04:40.937405
116,b49034184ded4c7d94f27d121a75eb7a,Auguste Rodin - Preparing for the Calvacade,Moshe Caine,rodin,,1276954,791970,16,416,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-b49034184ded4c7d94f27d121a75eb7a,2018-08-01T05:39:04.208224
117,f4ad8d9e411f4beab2048c3f8e4564a4,Nun Outfit,local.yany,michelangelo,renaissance,45606,25515,17,412,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-f4ad8d9e411f4beab2048c3f8e4564a4,2025-08-06T23:28:37.480208
